userID,groupID,daycnt,playtime,payamount,countents1,countents2,contents3,contents4,contents5,dailyquest,weeklyquest,marketbuy,marketsell
A48234,1,7,66.47138889,0,0,5,0,0,13206,0,0,14,30
0E5D15,6,6,1.528333333,0,0,0,0,0,5133,0,0,0,0
10451F,4,7,1.528055556,0,0,3,0,0,778,0,0,0,0
237FC1,6,6,11.17416667,25.85179526,2,0,0,2,7147,0,4,30,1
5895A7,5,2,4.337222222,0,1,0,0,0,1050,0,0,0,1
56C7BA,9,7,25.88111111,0,15,5,0,6,14944,10,0,17,34
49951C,8,7,44.57861111,35.79067991,21,5,0,5,13019,18,1,38,3
FA3645,1,7,10.35111111,0,36,2,0,1,5770,17,7,1,88
17A0D1,9,7,50.77805556,0,90,7,0,7,25401,9,0,16,53
7.72E+32,9,7,60.80083333,0,109,7,0,7,26532,49,0,7,37
94CF09,1,7,22.20666667,1.680672269,22,7,0,0,6315,1,0,3,13
CCA752,6,7,10.58777778,0,0,0,0,0,7341,1,0,1,0
D317D9,1,7,25.10222222,0,14,6,0,1,6858,1,0,14,6
6CA6B0,3,7,38.89,0,10,0,0,2,19670,5,0,1,3
554086,6,6,11.05333333,0,1,0,0,0,5574,0,1,2,0
9056A4,7,6,21.27222222,0,78,6,0,6,14077,55,1,26,36
32E9A4,6,7,0.49,0,0,0,0,0,0,1,0,0,42
685B78,6,5,18.51777778,1.527883881,47,0,9,0,9548,3,0,1,4
FB8E4D,5,2,0.951111111,0,8,0,0,0,494,0,0,0,0
29DFDA,3,7,15.67888889,0,0,2,0,4,5308,22,1,0,4
0E54EA,7,7,64.02444444,61.24522536,59,5,0,4,21404,44,3,128,19
A32F89,5,2,18.52305556,0,0,2,0,0,6154,1,0,0,0
F87E11,9,7,53.36527778,0,176,2,0,7,19026,50,0,7,11
7F0620,6,6,4.393333333,22.15431627,15,0,0,0,3714,0,0,3,9
26814C,8,7,20.80388889,0,20,7,0,7,21197,31,0,31,3
C592DF,6,6,85.93972222,0,0,0,0,0,4863,0,0,4,0
11C12D,5,3,2.792222222,0,0,0,0,0,140,0,0,0,0
7FB5E3,2,1,0.245555556,0,0,0,0,0,0,1,0,0,0
9A6544,3,6,21.91222222,8.168831169,36,0,0,6,40155,55,0,37,14
741DCC,1,7,45.33861111,113.4453782,12,2,0,4,11624,9,0,5,57
72D554,2,1,0.054444444,0,0,0,0,0,0,0,0,0,0
577538,3,6,31.24388889,0,106,1,0,1,13722,35,8,10,28
BED1C5,2,1,0.417222222,0,0,0,0,0,0,0,0,0,8
F5B5D5,2,1,0.046111111,0,0,0,0,0,0,0,0,0,0
4A1C3D,7,7,136.2088889,0,110,6,0,6,50218,85,3,6,88
E6C5A7,2,1,3.560833333,0,0,0,0,0,5569,0,0,0,0
442934,9,7,114.9097222,0,73,7,0,7,26530,5,0,103,68
F16312,2,1,0.281944444,0,7,0,0,0,0,1,0,1,0
8A77A7,6,5,97.3,0,23,0,0,1,10815,7,0,0,80
350F72,8,7,52.26083333,0,23,7,0,7,22369,56,1,0,11
6C3BE1,6,6,10.84444444,0,1,0,0,0,5354,7,0,0,0
5.76E+10,6,5,1.063055556,0,0,0,0,0,4302,0,0,0,0
D00D17,1,6,23.08194444,0,32,3,0,3,15653,8,0,11,53
6995F9,5,3,0.642777778,0,2,3,0,0,3294,0,0,0,0
87D6AD,3,6,8.53,0,56,1,0,5,4107,20,0,1,30
609F8B,6,6,2.139166667,0,0,0,0,0,0,0,0,0,0
A55F6E,5,3,1.907777778,0,14,0,0,0,4276,1,0,4,0
5440B6,4,7,1.924722222,0,0,7,0,0,1390,0,0,15,23
508747,4,6,21.27444444,0,0,6,0,0,2587,11,0,13,6
DA192B,3,7,10.81333333,2.941176471,9,2,0,0,6903,47,1,0,38
F85E88,1,6,38.13194444,0,43,2,0,4,9253,9,0,7,58
E6225A,5,3,0.6975,0,0,0,0,0,0,1,0,0,30
7611D9,6,7,60.09916667,0.76394194,13,0,0,0,18182,1,0,10,3
234306,4,6,10.90583333,0,0,6,0,0,2161,0,0,2,0
A065E9,5,2,0.810277778,0,0,0,0,0,0,1,0,1,6
B67043,2,1,3.866111111,0,1,0,0,1,3424,0,0,0,0
00B0A7,2,1,2.896111111,3.743315508,1,0,0,0,1437,0,0,4,0
9E5935,2,1,1.561944444,0,0,0,0,0,2198,0,0,0,0
4CF8F0,2,1,0.070277778,0,0,0,0,0,0,0,0,0,0
0E57DB,1,7,14.75166667,0,12,2,0,0,9497,13,0,32,47
BCAC38,6,5,5.997777778,7.868601986,12,0,0,2,7452,0,0,2,2
A581B0,9,7,25.14083333,43.67456073,29,4,0,6,18368,6,0,3,62
A457D3,5,4,2.191666667,0,23,0,0,0,134,1,0,3,8
AFEAE0,7,7,43.40888889,0,113,7,0,7,20474,1,0,2,65
9E28D4,6,4,28.32055556,0,30,0,0,0,9514,15,0,42,48
565C60,5,3,27.47333333,0,0,0,0,0,0,0,0,0,24
BEE722,4,7,0.694444444,0,0,7,0,0,1227,0,0,1,0
83467C,2,1,3.360277778,0,0,0,0,0,0,0,0,0,0
E73C75,1,5,13.06888889,0,17,2,0,4,9390,3,0,11,8
50C43E,3,7,17.93638889,127.6165011,27,1,0,2,15039,21,1,30,8
BBEEEE,8,7,31.98333333,19.09854851,27,4,0,2,26146,55,1,109,9
D49448,6,5,15.32416667,136.7379679,14,1,0,2,4742,0,0,28,0
DE6159,7,7,72.28944444,0,207,3,1,5,17531,42,0,1,69
D82965,6,4,7.787222222,0,35,2,0,0,11151,14,0,0,0
04D1BD,3,7,19.54944444,0,14,1,0,3,14334,37,0,3,0
004DDE,1,7,24.14,0,22,3,0,4,6542,0,0,0,0
31D6AD,6,6,4.256111111,0,8,0,0,2,3498,0,0,0,8
4DEB26,5,2,1.366666667,0,0,0,0,1,4030,4,0,0,1
C70918,9,7,28.58222222,0,17,4,0,8,17703,9,0,29,26
4C47FB,6,6,14.91833333,0,12,0,0,0,1529,9,1,0,0
DDE44B,8,5,21.52805556,0,49,5,0,4,8019,15,17,16,10
75B569,6,6,0.098888889,0,0,0,0,0,0,0,0,0,0
285792,2,1,0.056944444,0,0,0,0,0,0,1,0,0,0
66C17C,2,1,0.026666667,0,0,0,0,0,0,1,0,0,0
8388F7,8,7,29.7975,0,36,5,0,0,18363,22,7,0,4
A9A0F2,4,7,4.0025,0,8,7,0,0,5946,1,0,0,0
747354,6,7,30.66055556,0,33,0,0,0,7420,1,0,5,6
7512B6,6,5,21.40055556,0,0,0,0,0,1490,1,0,1,0
884EEC,5,2,0.140277778,0,0,0,0,0,0,1,0,0,0
849B16,6,7,9.312222222,0,9,0,0,0,9448,22,0,3,7
7DE272,2,1,0.382777778,0,0,0,0,0,659,0,0,0,0
8749CA,8,6,18.95277778,0,99,3,0,3,19729,31,1,7,7
824805,4,4,4.6725,0,14,3,0,0,4551,1,0,2,3
B2FF86,2,1,0.007777778,0,0,0,0,0,0,0,0,0,0
B970D7,1,7,13.42583333,0,0,7,0,0,11398,0,0,3,0
B226C8,2,1,0.013888889,0,0,0,0,0,0,0,0,0,0
146C1D,9,7,139.7930556,0,77,7,0,0,37892,47,1,11,29
22D339,9,7,61.47638889,0,18,1,0,4,37894,9,0,11,25
C1A0DA,2,1,0.014444444,0,0,0,0,0,0,0,0,0,2
8B353E,4,6,4.145,0,107,6,0,0,980,0,0,0,7
7840FF,5,4,7.544444444,0,2,0,0,0,4342,0,0,0,0
2AF4BB,2,1,0.055,0,0,0,0,0,0,0,0,0,0
0BBE62,6,4,6.687777778,0,0,0,0,0,0,0,0,7,49
E9548C,1,7,60.15472222,0,21,6,0,0,21430,1,0,9,4
B48577,1,6,8.263888889,5.113063407,60,5,0,0,7817,0,0,2,0
2D7F41,8,7,48.215,0,90,3,0,10,26008,61,0,10,13
5CBE92,5,2,4.111944444,0,0,0,0,0,3146,0,0,0,0
27548D,6,6,6.953888889,0,14,0,0,2,4797,20,0,0,0
C475FD,5,2,1.3175,0,0,0,0,0,1282,3,0,0,8
DB58A7,7,7,41.76027778,0,51,6,0,13,24081,70,1,8,22
17B1EE,6,5,0.688888889,0,0,0,0,0,5354,1,0,0,0
